Area Code,Area Name,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
2,Africa,2018,Exports FOB (millions of US dollars),,,"504,828",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
2,Africa,2019,Exports FOB (millions of US dollars),,,"491,767",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
2,Africa,2020,Exports FOB (millions of US dollars),,,"567,007",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
2,Africa,1995,Balance imports/exports (millions of US dollars),,,"-10,892",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
2,Africa,2005,Balance imports/exports (millions of US dollars),,,"60,428",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
2,Africa,2010,Balance imports/exports (millions of US dollars),,,"28,159",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
2,Africa,2015,Balance imports/exports (millions of US dollars),,,"-144,542",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
2,Africa,2018,Balance imports/exports (millions of US dollars),,,"-70,932",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
2,Africa,2019,Balance imports/exports (millions of US dollars),,,"-91,321",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
2,Africa,2020,Balance imports/exports (millions of US dollars),,,"-34,393",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,1995,Imports CIF (millions of US dollars),,,"45,062",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2005,Imports CIF (millions of US dollars),,,"87,571",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2010,Imports CIF (millions of US dollars),,,"181,147",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2015,Imports CIF (millions of US dollars),,,"205,560",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2018,Imports CIF (millions of US dollars),,,"227,329",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2019,Imports CIF (millions of US dollars),,,"228,304",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2020,Imports CIF (millions of US dollars),,,"202,905",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,1995,Exports FOB (millions of US dollars),,,"33,043",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2005,Exports FOB (millions of US dollars),,,"114,104",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2010,Exports FOB (millions of US dollars),,,"165,544",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2015,Exports FOB (millions of US dollars),,,"108,845",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2018,Exports FOB (millions of US dollars),,,"148,735",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2019,Exports FOB (millions of US dollars),,,"158,351",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2020,Exports FOB (millions of US dollars),,,"169,375",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,1995,Balance imports/exports (millions of US dollars),,,"-12,019",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2005,Balance imports/exports (millions of US dollars),,,"26,533",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2010,Balance imports/exports (millions of US dollars),,,"-15,603",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2015,Balance imports/exports (millions of US dollars),,,"-96,714",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2018,Balance imports/exports (millions of US dollars),,,"-78,594",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2019,Balance imports/exports (millions of US dollars),,,"-69,954",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
15,Northern Africa,2020,Balance imports/exports (millions of US dollars),,,"-33,530",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,1995,Imports CIF (millions of US dollars),,,"69,290",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2005,Imports CIF (millions of US dollars),,,"158,657",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
202,Sub-Saharan Africa,2010,Imports CIF (millions of US dollars),,,"287,288",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
